Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
gold-hoop-earrings-small,Gold Hoop Earrings Small,<p>Kleine gouden oorringen. Subtiel en elegant voor elke dag.</p>,Brow Atelier & Ink,,Sieraden,"sieraden, goud, oorbellen, klein",TRUE,Title,Default Title,,0,shopify,10,deny,manual,19.95,,TRUE,TRUE,https://images.unsplash.com/photo-1630019852942-f89202989a59?w=600&h=600&fit=crop,Gold Hoop Earrings Small,active
gold-hoop-earrings-large,Gold Hoop Earrings Large,<p>Grote gouden hoops die opvallen. Perfect als statement piece.</p>,Brow Atelier & Ink,,Sieraden,"sieraden, goud, oorbellen, groot",TRUE,Title,Default Title,,0,shopify,10,deny,manual,24.95,,TRUE,TRUE,https://images.unsplash.com/photo-1535632066927-ab7c9ab60908?w=600&h=600&fit=crop,Gold Hoop Earrings Large,active
silver-chain-necklace,Silver Chain Necklace,<p>Fijne zilveren ketting met subtiel hangertje. Draag hem solo of layer met andere kettingen.</p>,Brow Atelier & Ink,,Sieraden,"sieraden, zilver, ketting",TRUE,Title,Default Title,,0,shopify,10,deny,manual,29.95,,TRUE,TRUE,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=600&h=600&fit=crop,Silver Chain Necklace,active
pearl-drop-earrings,Pearl Drop Earrings,<p>Elegante oorbellen met parel hanger. Tijdloos en chic.</p>,Brow Atelier & Ink,,Sieraden,"sieraden, parel, oorbellen",TRUE,Title,Default Title,,0,shopify,10,deny,manual,22.95,,TRUE,TRUE,https://images.unsplash.com/photo-1611085583191-a3b181a88401?w=600&h=600&fit=crop,Pearl Drop Earrings,active
rose-gold-bracelet,Rose Gold Bracelet,<p>Minimalistisch armbandje in rosegoud. Stapelbaar met andere armbanden.</p>,Brow Atelier & Ink,,Sieraden,"sieraden, rosegoud, armband",TRUE,Title,Default Title,,0,shopify,10,deny,manual,17.95,,TRUE,TRUE,https://images.unsplash.com/photo-1573408301185-9146fe634ad0?w=600&h=600&fit=crop,Rose Gold Bracelet,active
crystal-ring-gold,Crystal Ring Gold,<p>Gouden ring met klein kristal detail. Fijn en vrouwelijk.</p>,Brow Atelier & Ink,,Sieraden,"sieraden, goud, ring, kristal",TRUE,Title,Default Title,,0,shopify,10,deny,manual,14.95,24.95,TRUE,TRUE,https://images.unsplash.com/photo-1605100804763-247f67b3557e?w=600&h=600&fit=crop,Crystal Ring Gold,active
chunky-chain-bracelet,Chunky Chain Bracelet,<p>Stoere gouden schakelarmband. De perfecte mix van elegant en edgy.</p>,Brow Atelier & Ink,,Sieraden,"sieraden, goud, armband, chunky",TRUE,Title,Default Title,,0,shopify,10,deny,manual,27.95,,TRUE,TRUE,https://images.unsplash.com/photo-1611591437281-460bfbe1220a?w=600&h=600&fit=crop,Chunky Chain Bracelet,active
brow-growth-serum,Brow Growth Serum,<p>Stimuleert de groei van je wenkbrauwen voor vollere brows. Resultaat na 4-6 weken.</p>,Brow Atelier & Ink,,Brow producten,"brows, serum, verzorging, groei",TRUE,Title,Default Title,,0,shopify,10,deny,manual,34.95,,TRUE,TRUE,https://images.unsplash.com/photo-1608248543803-ba4f8c70ae0b?w=600&h=600&fit=crop,Brow Growth Serum,active
brow-lamination-aftercare-kit,Brow Lamination Aftercare Kit,<p>Alles wat je nodig hebt na je brow lamination behandeling. Inclusief brow gel en voedend serum.</p>,Brow Atelier & Ink,,Brow producten,"brows, lamination, aftercare, verzorging",TRUE,Title,Default Title,,0,shopify,10,deny,manual,24.95,,TRUE,TRUE,https://images.unsplash.com/photo-1596462502278-27bfdc403348?w=600&h=600&fit=crop,Brow Lamination Aftercare Kit,active
brow-styling-gel-clear,Brow Styling Gel Clear,<p>Transparante brow gel die je wenkbrauwen de hele dag op hun plek houdt zonder te plakken.</p>,Brow Atelier & Ink,,Brow producten,"brows, gel, styling",TRUE,Title,Default Title,,0,shopify,10,deny,manual,12.95,,TRUE,TRUE,https://images.unsplash.com/photo-1631214524020-7e18db9a8f92?w=600&h=600&fit=crop,Brow Styling Gel Clear,active
lash-growth-serum,Lash Growth Serum,<p>Krachtig wimperserum voor langere en vollere wimpers. Zichtbaar resultaat na 3 weken.</p>,Brow Atelier & Ink,,Lash producten,"lashes, serum, wimpers, groei",TRUE,Title,Default Title,,0,shopify,10,deny,manual,39.95,,TRUE,TRUE,https://images.unsplash.com/photo-1631214500115-598fc2cb8ada?w=600&h=600&fit=crop,Lash Growth Serum,active
lash-brow-oil,Lash & Brow Oil,<p>Voedende olie met castorolie en vitamine E voor sterke wimpers en wenkbrauwen.</p>,Brow Atelier & Ink,,Lash producten,"lashes, brows, olie, verzorging",TRUE,Title,Default Title,,0,shopify,10,deny,manual,18.95,,TRUE,TRUE,https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?w=600&h=600&fit=crop,Lash & Brow Oil,active
